SA_SQ_KM,lagoslakei
0.256,58199
0.173,121400
0.041,137196
0.47,111969
0.076,88385
0.143,109890
0.296,89423
0.209,110936
0.047,32154
0.075,31075
0.072,73620
0.088,113965
0.044,70567
0.08,18422
0.143,134176
0.195,21635
0.08,31078
0.072,39466
0.067,48878
0.098,78968
0.06,128937
0.041,30009
0.259,18426
0.066,53104
0.228,63394
0.325,56119
0.047,115027
0.69,84202
0.045,72581
0.176,34175
0.046,23832
0.159,19511
0.06,58205
0.046,117176
0.044,74682
0.142,130004
0.247,39471
0.042,87332
0.059,94549
0.043,125607
0.295,113019
0.055,60237
0.04176378,101671
0.08297815,30016
0.04390599,34180
0.109,113974
0.054,34181
0.056,61274
0.121,96580
0.154,56122
0.077,111983
0.259,103720
0.046,72585
0.117,25910
0.05,46770
0.065,105837
0.041,9406
0.047,19516
0.187,71573
0.046,41640
0.048,42701
0.369,7260
0.116,101673
0.096,39475
0.055,59256
0.361,69549
0.058,18439
10.958000000000000,17379
0.15,21643
0.081,39476
0.436,57148
0.071,66496
2.118000000000000,6436
0.087,62298
0.05,103721
0.097,107832
0.065,9405
0.058,68536
0.204,61276
0.05,16339
0.148,12261
0.099,140328
0.102,50970
0.074,60239
0.043,20569
0.075,103722
0.061,106829
0.111,104757
0.13,130001
0.677,31087
0.052,58213
0.054,125612
0.081,34183
0.087,50971
0.321,20571
0.042,49921
0.14,32170
0.089,140327
0.055,83122
0.115,94555
0.051,122445
0.068,62300
0.233,124537
0.042,66498
0.511,63401
0.119,55127
0.105,70578
0.086,69552
0.076,19517
0.185,118166
0.19,33144
0.508,42704
0.252,77852
0.06,120338
0.078,119249
0.075,74691
0.065,140326
0.222,87336
0.051,9403
0.051,6560
0.053,21646
0.071,40540
0.048,17381
0.045,102683
0.076,75768
0.067,81006
1.748000000000000,7339
0.102,28960
0.069,50972
0.165,62301
0.051,22764
0.081,66500
0.137,121411
0.154,27912
0.359,30021
0.063,111988
0.082,111989
0.059,119250
0.076,128929
0.067,133100
0.098,115036
0.09,123505
0.41,7241
0.585,23837
0.061,11234
0.053,137175
0.094,69553
0.821,7061
0.055,111990
0.698,62302
0.181,59257
0.128,30022
